img,cls,split
AMRD21.jpeg,AMD,train
AMRD29.jpeg,AMD,train
AMRD28.jpeg,AMD,train
DR13.jpeg,DR,train
DR8.jpeg,DR,train
DR29.jpeg,DR,train
DR100.jpeg,DR,train
DR14.jpeg,DR,train
DR60.jpeg,DR,train
DR78.jpeg,DR,train
DR21.jpeg,DR,train
DR47.jpeg,DR,train
DR90.jpeg,DR,train
DR57.jpeg,DR,train
DR92.jpeg,DR,train
DR65.jpeg,DR,train
DR53.jpeg,DR,train
DR15.jpeg,DR,train
DR55.jpeg,DR,train
DR41.jpeg,DR,train
DR69.jpeg,DR,train
DR96.jpeg,DR,train
DR103.jpeg,DR,train
DR3.jpeg,DR,train
DR56.jpeg,DR,train
DR74.jpeg,DR,train
DR48.jpeg,DR,train
DR52.jpeg,DR,train
DR88.jpeg,DR,train
DR42.jpeg,DR,train
DR102.jpeg,DR,train
DR46.jpeg,DR,train
DR79.jpeg,DR,train
DR107.jpeg,DR,train
DR80.jpeg,DR,train
DR31.jpeg,DR,train
DR89.jpeg,DR,train
DR101.jpeg,DR,train
DR33.jpeg,DR,train
DR54.jpeg,DR,train
MH24.jpeg,MH,train
MH86.jpeg,MH,train
MH23.jpeg,MH,train
MH92.jpeg,MH,train
MH93.jpeg,MH,train
MH32.jpeg,MH,train
MH101.jpeg,MH,train
MH64.jpeg,MH,train
MH29.jpeg,MH,train
MH63.jpeg,MH,train
MH8.jpeg,MH,train
MH4.jpeg,MH,train
MH20.jpeg,MH,train
MH73.jpeg,MH,train
MH35.jpeg,MH,train
MH42.jpeg,MH,train
MH85.jpeg,MH,train
MH11.jpeg,MH,train
MH75.jpeg,MH,train
MH80.jpeg,MH,train
MH53.jpeg,MH,train
MH15.jpeg,MH,train
MH51.jpeg,MH,train
MH18.jpeg,MH,train
MH79.jpeg,MH,train
MH47.jpeg,MH,train
MH67.jpeg,MH,train
MH12.jpeg,MH,train
